from (Ziffer),to (Medium-ID),weight ( 1 / 2 ) öffentlich oder nicht,year,aktenzeichen (az),code
Ziffer8,FZ,2,2000,(B 178/00),(FZ/2000/01)
Ziffer2,BZ,1,2000,(B 164/00),(BZ/2000/01)
Ziffer11,Bild,1,2000,(B 158/00),(Bild/2000/01)
Ziffer1,Stern,1,2000,(B 114/00),(Stern/2000/01)
Ziffer8,Stern,1,2000,(B 114/00),(Stern/2000/01)
Ziffer11,Stern,1,2000,(B 114/00),(Stern/2000/01)
Ziffer14,Coupe,1,2000,(B 96/00),(Coupe/2000/01)
Ziffer8,Bild,2,2000,(B 93/00),(Bild/2000/02)
Ziffer7,ETN,1,2000,(B 136/00),(ETN/2000/01)
Ziffer2,Bild,1,2000,(B 91/00),(Bild/2000/03)
Ziffer13,Bild,1,2000,(B 91/00),(Bild/2000/03)
Ziffer8,Taz,2,2000,(B 86/00),(Taz/2000/01)
Ziffer2,BK,1,2000,(B 51/00),(BK/2000/01)
Ziffer8,BK,1,2000,(B 51/00),(BK/2000/01)
Ziffer8,BZ,1,2000,(B 41/00),(BZ/2000/02)
Ziffer11,VO,1,2000,(B 13/00),(VO/2000/01)
Ziffer8,BZ,2,2000,(B 12/00),(BZ/2000/03)
Ziffer9,BZ,2,2000,(B 12/00),(BZ/2000/03)
Ziffer7,rtv,1,2000,(B 97/99),(rtv/2000/01)
Ziffer8,BBZ,2,2001,(B 184/01),(BBZ/2001/01)
Ziffer8,EX,1,2001,(B 209/01),(EX/2001/01)
Ziffer13,EX,1,2001,(B 209/01),(EX/2001/01)
Ziffer8,EX,1,2001,(B 206/01),(EX/2001/02)
Ziffer13,EX,1,2001,(B 206/01),(EX/2001/02)
Ziffer2,EX,1,2001,(B 206/01),(EX/2001/02)
Ziffer8,Bild,1,2001,(B 205/01),(Bild/2001/01)
Ziffer13,Bild,1,2001,(B 205/01),(Bild/2001/01)
Ziffer7,FM,1,2001,(B 199/01),(FM/2001/01)
Ziffer7,SAZ,1,2001,(B 197/01),(SAZ/2001/01)
Ziffer9,Taz,1,2001,(B 191/01),(Taz/2001/01)
Ziffer2,Bild,1,2001,(B 187/01),(Bild/2001/02)
Ziffer8,Bild,1,2001,(B 187/01),(Bild/2001/02)
Ziffer1,Bild,1,2001,(B 186/01),(Bild/2001/03)
Ziffer9,Bild,1,2001,(B 186/01),(Bild/2001/03)
Ziffer12,Bild,1,2001,(B 186/01),(Bild/2001/03)
Ziffer1,BildO,1,2001,(B 186/01),(BildO/2001/01)
Ziffer9,BildO,1,2001,(B 186/01),(BildO/2001/01)
Ziffer12,BildO,1,2001,(B 186/01),(BildO/2001/01)
Ziffer2,DNB,1,2001,(B 182/01),(DNB/2001/01)
Ziffer8,DNB,1,2001,(B 182/01),(DNB/2001/01)
Ziffer7,J,1,2001,(B 178/01),(J/2001/01)
Ziffer1,OFN,1,2001,"(B 174,175,176/01)",(OFN/2001/01)
Ziffer6,OFN,1,2001,"(B 174,175,176/01)",(OFN/2001/01)
Ziffer13,Bild,1,2001,(B 166/01),(Bild/2001/04)
Ziffer13,Bild,1,2001,(B 162/01),(Bild/2001/05)
Ziffer8,Bild,1,2001,(B 162/01),(Bild/2001/05)
Ziffer2,Stern,1,2001,"(B 154,155/01)",(Stern/2001/01)
Ziffer8,Stern,1,2001,"(B 154,155/01)",(Stern/2001/01)
Ziffer2,Bild,1,2001,(B 148/01),(Bild/2001/06)
Ziffer2,RZ,1,2001,"(B 144,163,164/01)",(RZ/2001/01)
Ziffer9,RZ,1,2001,"(B 144,163,164/01)",(RZ/2001/01)
Ziffer2,Bild,1,2001,(B 139/01),(Bild/2001/07)
Ziffer8,Bild,1,2001,(B 139/01),(Bild/2001/07)
Ziffer9,JF,1,2001,(B 130/01),(JF/2001/01)
Ziffer2,MAX,1,2001,(B 47/01),(MAX/2001/01)
Ziffer4,MAX,1,2001,(B 47/01),(MAX/2001/01)
Ziffer8,DM,2,2001,(B 121/01),(DM/2001/01)
Ziffer8,HM,2,2001,"(B 108,109,110/01)",(HM/2001/01)
Ziffer11,HM,2,2001,"(B 108,109,110/01)",(HM/2001/01)
Ziffer8,Bild,2,2001,"(B 105,106,107/01)",(Bild/2001/08)
Ziffer11,Bild,2,2001,"(B 105,106,107/01)",(Bild/2001/08)
Ziffer8,BildO,2,2001,"(B 105,106,107/01)",(BildO/2001/01)
Ziffer11,BildO,2,2001,"(B 105,106,107/01)",(BildO/2001/01)
Ziffer8,BZ,1,2001,(B 98/01),(BZ/2001/01)
Ziffer9,RUN,1,2001,(B 97/01),(RUN/2001/01)
Ziffer2,Huerriyet,1,2001,(B 93/01),(Huerriyet/2001/01)
Ziffer2,Coupe,1,2001,(B 70/01),(Coupe/2001/01)
Ziffer1,Coupe,1,2001,(B 69/01),(Coupe/2001/02)
Ziffer2,Coupe,1,2001,(B 69/01),(Coupe/2001/02)
Ziffer1,Taz,1,2001,(B 53/01),(Taz/2001/02)
Ziffer2,Coupe,1,2001,(B 52/01),(Coupe/2001/03)
Ziffer2,SA,1,2001,(B 43/01),(SA/2001/01)
Ziffer8,Bild,1,2001,(B 34/01),(Bild/2001/09)
Ziffer13,Bild,1,2001,(B 34/01),(Bild/2001/09)
Ziffer9,NW,1,2001,(B 29/01),(NW/2001/01)
Ziffer12,NW,1,2001,(B 29/01),(NW/2001/01)
Ziffer9,AZ,1,2001,(B 21/01),(AZ/2001/01)
Ziffer2,Bravo,1,2001,(B 20/01),(Bravo/2001/01)
Ziffer8,Bravo,1,2001,(B 20/01),(Bravo/2001/01)
Ziffer7,BM,1,2001,(B 17/01),(BM/2001/01)
Ziffer2,Bild,1,2001,(B 10/01),(Bild/2001/10)
Ziffer6,Bild,1,2001,(B 10/01),(Bild/2001/10)
Ziffer2,Bild,1,2001,(B 8/01),(Bild/2001/11)
