from,to,weight,year,az,code
Ziffer1,FNP,1,1990,(B 91/90),(FNP/1990/1)
Ziffer2,MBZ,1,1990,(B 17/90),(MBZ/1990/1)
Ziffer4,HM,1,1990,(B 8/90),(HM/1990/1)
Ziffer7,TZ,1,1990,(B 31/90),(TZ/1990/1)
Ziffer8,WAZ,2,1990,(B 63/89),(WAZ/1990/1)
Ziffer8,DE,2,1990,(B 98/90),(DE/1990/1)
Ziffer9,RK,1,1990,(B 14/90),(RK/1990/1)
Ziffer10,DP,1,1990,(B 24/90),(DP/1990/1)
Ziffer10,MBZ,1,1990,(B 17/90),(MBZ/1990/2)
Ziffer12,FNP,1,1990,(B 91/90),(FNP/1990/2)
Ziffer12,MM,1,1990,(B 70/90),(MM/1990/1)
Ziffer12,MBZ,1,1990,(B 59/90),(MBZ/1990/3)
Ziffer13,ABZ,2,1990,(B 29/90),(ABZ/1990/1)
Ziffer10,TAZ,1,1991,(B 28/87),(TAZ/1991/1)
Ziffer12,Coupe,1,1991,(B 2/91),(Coupe/1991/1)
Ziffer14,Coupe,1,1991,(B 2/91),(Coupe/1991/2)
Ziffer2,Quick,1,1991,(B 21/91),(Quick/1991/1)
Ziffer2,ABZ,1,1991,(B 12/91),(ABZ/1991/1)
Ziffer8,Bunte,1,1991,(B 20/91),(Bunte/1991/1)
Ziffer1,Super,1,1991,(B 27/91),(Super/1991/1)
Ziffer8,ME,1,1991,(B 32/91),(ME/1991/1)
Ziffer2,Bild,1,1991,(B 47/91),(Bild/1991/1)
Ziffer1,FR,1,1991,(B 47/91),(FR/1991/1)
Ziffer8,DGZ,1,1991,(B 49/91),(DGZ/1991/1)
Ziffer8,FN,1,1991,(B 51/91),(FN/1991/1)
Ziffer11,FN,1,1991,(B 51/91),(FN/1991/2)
Ziffer8,Super,2,1991,(B 54/91),(Super/1991/2)
Ziffer8,Quick,1,1992,(B 39/90),(Quick/1992/1)
Ziffer2,Quick,1,1992,(B 66/91),(Quick/1992/2)
Ziffer9,HK,1,1992,(B 68/91),(HK/1992/1)
Ziffer8,BildaS,1,1992,(B 71/91),(BildaS/1992/1)
Ziffer8,Bild,2,1992,(B 6/92),(Bild/1992/1)
Ziffer13,Bild,1,1992,(B 14/92),(Bild/1992/2)
Ziffer8,DW,2,1992,(B 15/92),(DW/1992/1)
Ziffer7,SPHT,1,1992,(B 18/92),(SPHT/1992/1)
Ziffer8,Bild,2,1992,(B 25/92),(Bild/1992/3)
Ziffer8,Tempo,2,1992,(B 32/92),(Tempo/1992/1)
Ziffer2,TZ,1,1992,(B 38/92),(TZ/1992/1)
Ziffer8,SuperI,1,1992,(B 39/92),(SuperI/1992/1)
Ziffer4,Bild,1,1992,(B 49/92),(Bild/1992/4)
Ziffer9,Bild,1,1992,(B 49/92),(Bild/1992/5)
Ziffer9,Playboy,1,1992,(B 51/92),(Playboy/1992/1)
Ziffer1,BI,1,1993,(B 50/92),(BI/1993/1)
Ziffer9,BI,1,1993,(B 50/92),(BI/1993/2)
Ziffer2,PZ,1,1993,(B 57/92),(PZ/1993/1)
Ziffer8,Bild,2,1993,(B 64/92),(Bild/1993/1)
Ziffer13,Bild,2,1993,(B 64/92),(Bild/1993/2)
Ziffer2,FAZ,1,1993,(B 4/93),(FAZ/1993/1)
Ziffer5,HM,2,1993,(B 18/93),(HM/1993/1)
Ziffer13,Bild,1,1993,(B 26/93),(Bild/1993/3)
Ziffer12,WFB,1,1993,(B 28/93),(WFB/1993/4)
Ziffer8,MM,1,1993,(B 42a/93),(MM/1993/1)
Ziffer8,TZ,1,1993,(B 42b/93),(TZ/1993/1)
Ziffer8,Bild,1,1993,(B 42c/93),(Bild/1993/4)
Ziffer8,Bild,1,1993,(B 48a/93),(Bild/1993/5)
Ziffer8,BZ,1,1993,(B 48b/93),(BZ/1993/1)
Ziffer8,BK,1,1993,(B 48c/93),(BK/1993/1)
Ziffer8,SuperI,1,1993,(B 48e/93),(SuperI/1993/1)
Ziffer12,Praline,1,1993,(B 49/93),(Praline/1993/1)
Ziffer9,IS,1,1993,(B 51/93),(IS/1993/1)
Ziffer13,TZ,2,1993,(B 63a/93),(TZ/1993/2)
Ziffer8,Bild,2,1993,(B 74/93),(Bild/1993/6)
Ziffer2,SuperI,2,1993,(B 75/93),(SuperI/1993/2)
Ziffer8,SuperI,2,1993,(B 75/93),(SuperI/1993/3)
Ziffer9,Coupe,1,1994,(B 13/91),(Coupe/1994/1)
Ziffer2,BI,1,1994,(B 44/93),(BI/1994/1)
Ziffer14,BI,1,1994,(B 44/93),(BI/1994/2)
Ziffer13,Express,2,1994,(B 80a/93),(Express/1994/1)
Ziffer10,ND,1,1994,(B 87/93),(ND/1994/1)
Ziffer2,Coupe,1,1994,(B 88/93),(Coupe/1994/2)
Ziffer2,Bild,1,1994,(B 6/94),(Bild/1994/1)
Ziffer13,Bild,2,1994,(B 15/94),(Bild/1994/2)
Ziffer8,CMP,1,1994,(B 31/94),(CMP/1994/1)
Ziffer11,CMP,1,1994,(B 31/94),(CMP/1994/2)
Ziffer12,Bild,1,1994,(B 33/94),(Bild/1994/3)
Ziffer8,ABZ,2,1994,(B 37/94),(ABZ/1994/1)
Ziffer8,Bild,1,1994,(B 59/94),(Bild/1994/4)
Ziffer9,Bild,1,1994,(B 59/94),(Bild/1994/5)
Ziffer8,Bild,1,1994,(B 62/94),(Bild/1994/6)
Ziffer11,Bild,1,1994,(B 62/94),(Bild/1994/7)
Ziffer13,Bild,1,1994,(B 62/94),(Bild/1994/8)
Ziffer8,Bild,1,1994,(B 64/94),(Bild/1994/9)
Ziffer13,Bild,2,1994,(B 74/94),(Bild/1994/10)
Ziffer2,Huerriyet,1,1994,(B 76/94),(Huerriyet/1994/1)
Ziffer9,Huerriyet,1,1994,(B 76/94),(Huerriyet/1994/2)
Ziffer2,Coupe,1,1995,(B 81/94),(Coupe/1995/1)
Ziffer4,Bild,1,1995,(B 86a/94),(Bild/1995/1)
Ziffer11,Bild,1,1995,(B 86a/94),(Bild/1995/1)
Ziffer8,Tango,2,1995,(B 87/94),(Tango/1995/1)
Ziffer11,Tango,2,1995,(B 87/94),(Tango/1995/1)
Ziffer2,CMP,2,1995,(B 88/94),(CMP/1995/1)
Ziffer8,CMP,2,1995,(B 88/94),(CMP/1995/1)
Ziffer9,ANZ,2,1995,(B 94/94),(AZ/1995/1)
Ziffer10,Titanic,1,1995,(B 103/94),(Titanic/1995/1)
Ziffer2,Bild,1,1995,(B 6/95),(Bild/1995/2)
Ziffer8,Bild,2,1995,(B 15a/95),(Bild/1995/3)
Ziffer11,Bild,2,1995,(B 15a/95),(Bild/1995/3)
Ziffer13,Bild,2,1995,(B 15a/95),(Bild/1995/3)
Ziffer8,ABZ,2,1995,(B 15b/95),(ABZ/1995/1)
Ziffer12,Hoerzu,1,1995,(B 18/95),(Hoerzu/1995/1)
Ziffer8,BZ,1,1995,(B 19/95),(BZ/1995/1)
Ziffer13,BZ,1,1995,(B 19/95),(BZ/1995/1)
Ziffer8,Bild,1,1995,(B 20/95),(Bild/1995/4)
Ziffer8,BZ,1,1995,(B 22a/95),(BZ/1995/2)
Ziffer8,BK,1,1995,(B 22b/95),(BK/1995/1)
Ziffer2,WHN,1,1995,(B 34/95),(WHN/1995/1)
Ziffer10,CE,1,1995,(B 51/95),(CE/1995/1)
Ziffer2,WHN,1,1995,(B 61/95),(WHN/1995/2)
Ziffer8,Bild,2,1995,(B 67/95),(Bild/1995/5)
Ziffer2,Bild,1,1995,(B 70/95),(Bild/1995/6)
Ziffer8,Bild,1,1995,(B 70/95),(Bild/1995/6)
Ziffer2,Bravo,1,1996,(B 92a+b/95),(Bravo/1996/1)
Ziffer2,Coupe,1,1996,(B 98a/95),(Coupe/1996/1)
Ziffer8,MM,1,1996,(B 99/95),(MM/1996/1)
Ziffer8,Bild,1,1996,(B 102/95),(Bild/1996/1)
Ziffer2,Bild,1,1996,(B 109/95),(Bild/1996/2)
Ziffer8,Bild,1,1996,(B 110/95),(Bild/1996/3)
Zifferunbekannt,ES,1,1996,(B 8/96),(ES/1996/1)
Ziffer2,NP,1,1996,(B 42a/96),(NP/1996/1)
Ziffer8,NP,1,1996,(B 42a/96),(NP/1996/1)
Ziffer2,Praline,1,1996,(B 42b/96),(Praline/1996/1)
Ziffer8,Praline,1,1996,(B 42b/96),(Praline/1996/1)
Ziffer8,Bild,1,1996,(B 53/96),(Bild/1996/4)
Ziffer11,Bild,2,1996,(B 39/96),(Bild/1996/5)
Ziffer13,Bild,1,1997,(B 37/97),(Bild/1997/1)
Ziffer1,Taz,1,1997,(B 79/96),(Taz/1997/1)
Ziffer2,WFB,1,1997,(B 11/97),(WFB/1997/1)
Ziffer12,WFB,1,1997,(B 11/97),(WFB/1997/1)
Ziffer2,Coupe,1,1997,(B 27/97),(Coupe/1997/1)
Ziffer9,Coupe,1,1997,(B 27/97),(Coupe/1997/1)
Ziffer14,Coupe,1,1997,(B 27/97),(Coupe/1997/1)
Ziffer2,Bild,1,1997,(B 65/97),(Bild/1997/2)
Ziffer7,OHA,1,1997,(B 67/97),(OHA/1997/1)
Ziffer1,Titanic,1,1997,(B 69/97),(Titanic/1997/1)
Ziffer12,BE,1,1997,(B 71/97),(BE/1997/1)
Ziffer12,Coupe,1,1997,(B 87/97),(Coupe/1997/2)
Ziffer2,Coupe,1,1997,(B 96/97),(Coupe/1997/3)
Ziffer8,Bild,1,1997,(B 109/97),(Bild/1997/3)
Ziffer13,Bild,1,1997,(B 109/97),(Bild/1997/3)
Ziffer11,Stern,2,1997,(B 120/97),(Stern/1997/1)
Ziffer1,JW,1,1997,(B 140/97),(JW/1997/1)
Ziffer8,Bild,1,1997,(B 143/97),(Bild/1997/4)
Ziffer13,Bild,1,1997,(B 143/97),(Bild/1997/4)
Ziffer2,Bild,1,1997,(B 152/97),(Bild/1997/5)
Ziffer8,Bild,1,1997,(B 152/97),(Bild/1997/5)
Ziffer8,Bild,1,1997,(B 155a-d/97),(Bild/1997/6)
Ziffer11,Bild,1,1997,(B 155a-d/97),(Bild/1997/6)
Ziffer2,BI,1,1998,(B 107/97),(BI/1998/1)
Ziffer11,AP,1,1998,(B 28/98),(AP/1998/1)
Ziffer1,DZ,1,1998,(B 38/98),(DZ/1998/1)
Ziffer9,SGZ,1,1998,(B 58/98),(SGZ/1998/1)
Ziffer12,SGZ,1,1998,(B 58/98),(SGZ/1998/1)
Ziffer1,HS,1,1998,"(B 86,87,88/98)",(HS/1998/1)
Ziffer12,HS,1,1998,"(B 86,87,88/98)",(HS/1998/1)
Ziffer2,Coupe,1,1998,(B 81/98),(Coupe/1998/1)
Ziffer11,Coupe,1,1998,(B 81/98),(Coupe/1998/1)
Ziffer2,BG,1,1998,"(B 91,92/98)",(BG/1998/1)
Ziffer4,BG,1,1998,"(B 91,92/98)",(BG/1998/1)
Ziffer7,LN,1,1998,(B 143/98),(LN/1998/1)
Ziffer2,Bild,1,1999,(B 140/98),(Bild/1999/1)
Ziffer1,Coupe,1,1999,(B 141/98),(Coupe/1999/1)
Ziffer8,NRZ,1,1999,(B 166/98),(NRZ/1999/1)
Ziffer8,Bild,1,1999,(B 1/99),(Bild/1999/2)
Ziffer13,Bild,1,1999,(B 1/99),(Bild/1999/2)
Ziffer7,MRUP,1,1999,(B 27/99),(MRUP/1999/1)
Ziffer9,Sabah,1,1999,(B 33/99),(Sabah/1999/1)
Ziffer7,TS,1,1999,(B 34/99),(TS/1999/1)
Ziffer2,NPR,1,1999,(B 40/99),(NPR/1999/1)
Ziffer8,BZ,1,1999,(B 45/99),(BZ/1999/1)
Ziffer1,RP,1,1999,(B 49/99),(RP/1999/1)
Ziffer12,RP,1,1999,(B 49/99),(RP/1999/1)
Ziffer6,Shape,1,1999,(B 53/99),(Shape/1999/1)
Ziffer7,Shape,1,1999,(B 53/99),(Shape/1999/1)
Ziffer9,Taz,1,1999,(B 59/99),(Taz/1999/1)
Ziffer1,GP,1,1999,(B 68/99),(GP/1999/1)
Ziffer2,GP,1,1999,(B 68/99),(GP/1999/1)
Ziffer2,Bild,2,1999,(B 76/99),(Bild/1999/3)
Ziffer13,Bild,2,1999,(B 76/99),(Bild/1999/3)
Ziffer8,Stern,1,1999,(B 82/99),(Stern/1999/1)
Ziffer2,Huerriyet,1,1999,(B 92/99),(Huerriyet/1999/1)
Ziffer2,Bravo,1,1999,(B 93/99),(Bravo/1999/1)
Ziffer8,FZ,2,2000,(B 178/00),(FZ/2000/01)
Ziffer2,BZ,1,2000,(B 164/00),(BZ/2000/01)
Ziffer11,Bild,1,2000,(B 158/00),(Bild/2000/01)
Ziffer1,Stern,1,2000,(B 114/00),(Stern/2000/01)
Ziffer8,Stern,1,2000,(B 114/00),(Stern/2000/01)
Ziffer11,Stern,1,2000,(B 114/00),(Stern/2000/01)
Ziffer14,Coupe,1,2000,(B 96/00),(Coupe/2000/01)
Ziffer8,Bild,2,2000,(B 93/00),(Bild/2000/02)
Ziffer7,ETN,1,2000,(B 136/00),(ETN/2000/01)
Ziffer2,Bild,1,2000,(B 91/00),(Bild/2000/03)
Ziffer13,Bild,1,2000,(B 91/00),(Bild/2000/03)
Ziffer8,Taz,2,2000,(B 86/00),(Taz/2000/01)
Ziffer2,BK,1,2000,(B 51/00),(BK/2000/01)
Ziffer8,BK,1,2000,(B 51/00),(BK/2000/01)
Ziffer8,BZ,1,2000,(B 41/00),(BZ/2000/02)
Ziffer11,VO,1,2000,(B 13/00),(VO/2000/01)
Ziffer8,BZ,2,2000,(B 12/00),(BZ/2000/03)
Ziffer9,BZ,2,2000,(B 12/00),(BZ/2000/03)
Ziffer7,RTV,1,2000,(B 97/99),(RTV/2000/01)
Ziffer8,BBZ,2,2001,(B 184/01),(BBZ/2001/01)
Ziffer8,Express,1,2001,(B 209/01),(Express/2001/01)
Ziffer13,Express,1,2001,(B 209/01),(Express/2001/01)
Ziffer8,Express,1,2001,(B 206/01),(Express/2001/02)
Ziffer13,Express,1,2001,(B 206/01),(Express/2001/02)
