id,name,type (0/1 - Ziffer oder Medium),region (0/1),published (0/1),label
Ziffer1,Pressekodex Ziffer 1,0,NA,NA,Ziffer1
Ziffer2,Pressekodex Ziffer 2,0,NA,NA,Ziffer2
Ziffer3,Pressekodex Ziffer 3,0,NA,NA,Ziffer3
Ziffer4,Pressekodex Ziffer 4,0,NA,NA,Ziffer4
Ziffer5,Pressekodex Ziffer 5,0,NA,NA,Ziffer5
Ziffer6,Pressekodex Ziffer 6,0,NA,NA,Ziffer6
Ziffer7,Pressekodex Ziffer 7,0,NA,NA,Ziffer7
Ziffer8,Pressekodex Ziffer 8,0,NA,NA,Ziffer8
Ziffer9,Pressekodex Ziffer 9,0,NA,NA,Ziffer9
Ziffer10,Pressekodex Ziffer 10,0,NA,NA,Ziffer10
Ziffer11,Pressekodex Ziffer 11,0,NA,NA,Ziffer11
Ziffer12,Pressekodex Ziffer 12,0,NA,NA,Ziffer12
Ziffer13,Pressekodex Ziffer 13,0,NA,NA,Ziffer13
Ziffer14,Pressekodex Ziffer 14,0,NA,NA,Ziffer14
Ziffer15,Pressekodex Ziffer 15,0,NA,NA,Ziffer15
Ziffer16,Pressekodex Ziffer 16,0,NA,NA,Ziffer16
ABZ,Abendzeitung,1,1,1,ABZ
ABZM,Abendzeitung München,1,1,1,ABZM
ABZN,Abendzeitung Nürnberg,1,1,1,ABZN
ARF,Aktiv Radfahren,1,0,1,ARF
AADW,Aktuelles aus der Wirtschaft,1,0,1,AADW
AFDA,Alles für die Frau,1,0,1,AFDA
AZ,Allgäuer Zeitung,1,1,1,AZ
ANZ,Andere Zeitung,1,0,1,ANZ
AnW,Angelwoche,1,0,1,AnW
AP,Animal Peace,1,0,1,AP
AUM,Audimax,1,0,1,AUM
AAO,Augsburger Allgemeine Online,1,1,0,AAO
AUGN,Augsburger News,1,1,1,AUGN
AUZ,Auto Zeitung,1,0,1,AUZ
BZ,B.Z,1,1,1,BZ
BZO,B.Z.-Online,1,1,0,BZO
BSZ,Bad Sodener Zeitung,1,1,1,BSZ
BS,Bayrische Staatszeitung,1,1,1,BS
BDZ,Bergedorfer Zeitung,1,1,1,BDZ
BK,Berliner Kurier,1,1,1,BK
BMP,Berliner Morgenpost,1,1,1,BMP
BMPO,Berliner Morgenpost Online,1,1,0,BMPO
BERZ,Berliner Zeitung,1,1,1,BERZ
BB,Bibliser Blatt,1,1,1,BB
Bild,Bild,1,0,1,Bild
BildA,Bild Aachen,1,1,1,BildA
BildaS,Bild am Sonntag,1,0,1,BildaS
BildB,Bild Berlin,1,1,1,BildB
BildBR,Bild Bremen,1,1,1,BildBR
BildD,Bild Dresden,1,1,1,BildD
BildF,Bild Frankfurt,1,1,1,BildF
BildHA,Bild Hamburg,1,1,1,BildHA
BildH,Bild Hannover,1,1,1,BildH
BildK,Bild Köln,1,1,1,BildK
BildMW,Bild Mainz Wiesbaden,1,1,1,BildMW
